[decompyle3] D:\sml8\companies\__pycache__\admin.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\colorama\__pycache__\winterm.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\colorama\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\colorama\tests\__pycache__\ansitowin32_test.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\colorama\tests\__pycache__\ansi_test.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\colorama\tests\__pycache__\initialise_test.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\colorama\tests\__pycache__\isatty_test.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\colorama\tests\__pycache__\utils.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\colorama\tests\__pycache__\winterm_test.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\colorama\tests\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\__pycache__\shortcuts.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\__pycache__\__main__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\apps\__pycache__\config.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\apps\__pycache__\registry.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\apps\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\__pycache__\global_settings.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\ar\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\ar\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\ar_DZ\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\ar_DZ\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\az\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\az\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\bg\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\bg\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\bn\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\bn\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\bs\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\bs\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\ca\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\ca\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\ckb\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\ckb\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\cs\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\cs\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\cy\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\cy\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\da\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\da\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\de\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\de\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\de_CH\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\de_CH\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\el\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\el\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\en\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\en\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\en_AU\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\en_AU\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\en_CA\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\en_CA\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\en_GB\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\en_GB\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\en_IE\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\en_IE\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\eo\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\eo\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\es\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\es\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\es_AR\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\es_AR\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\es_CO\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\es_CO\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\es_MX\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\es_MX\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\es_NI\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\es_NI\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\es_PR\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\es_PR\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\et\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\et\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\eu\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\eu\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\fa\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\fa\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\fi\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\fi\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\fr\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\fr\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\fr_BE\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\fr_BE\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\fr_CA\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\fr_CA\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\fr_CH\__pycache__\formats.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
[decompyle3] D:\sml8\sml8_backup\venv\Lib\site-packages\django\conf\locale\fr_CH\__pycache__\__init__.cpython-310.pyc: main() missing 4 required positional arguments: 'in_base', 'out_base', 'compiled_files', and 'source_files'
